projectNumber,name,office,projectStatus,duties,lastUpdated,description,architect,externalContact,projectPartner,projectLeader
307558,Avalon Sciences Ltd - Lab Survey and Report,Plymouth,Ongoing,Abridged Duties,13 Nov 2013,Laboratory Survey and report (A/C and Lighting),,,Jerry Barnes,Simon French
405615,Oldham College - Building B,Manchester,Outline Proposals (RIBA stage C),Full Duties,25 Sep 2013,"Oldham College - Digital Skills Centre (previously known as Innovation Hub) GIFA of 3200m2 Use of BIM Working on the LOR team. Procured through the North West Construction Hub Framework. Hoare Lea provided support to LOR and the College in pursuing University Technical College status. Their success was confirmed in March 2013 (see weblink below). __________________________________ A major redevelopment of the College campus is underway in line with the recently unveiled masterplan for a possible eight phase redevelopment which include a sports zone, demolishing the old Bronte and Bevan buildings, reducing the tower block to two storeys and a new creative services centre. The second phase is a £9 million Digital Skills Centre, partly funded by the Skills Funding Agency (SFA). The design is again being delivered using Revit MEP.",Aedas (Manchester),Imran Kassim,David Armstrong,Ian Chalk
405618,SKMC,Manchester,Ongoing,Other,03 Jun 2013,Review of documents,,,Mark Hagger,Don Court
405619,"701 Chester Road, Manchester – Fire Alarm review",Manchester,Report Only,Report,06 Jun 2013,The Tenant is suggesting the fire alarm needs replacing as the system is 20 years old but O&H would like an independent assessment. Provide a report covering the facts.,,,Mark Hagger,Andrew Cross
405620,Zayed University,Manchester,Ongoing,Other,11 Jun 2013,Zayed University,,,Mark Hagger,Daniel Williams
405622,Alan Turing Building - University of Manchester,Manchester,Report Only,Report,17 Jun 2013,Produce a report to look into the heating and cooling issues being experienced in the Alan Turing building at the University of Manchester.,,,Mark Hagger,Ian Chalk
405623,Llangollen Medical Centre,Manchester,Briefing (RIBA stage B),Framework Agreement,17 Jul 2013,Two storey new build in Llangollen,,,David Armstrong,Ian Chalk
405624,University of Manchester Simon Building Phase 2,Manchester,Appraisal (RIBA stage A),Full Duties,22 Jul 2013,"As part of the University of Manchester 2012 Estates Strategy, the Simon building has been identified as one of the key strategic buildings for future development and refurbishment. Background of building Currently large areas of the Simon building remain un-occupied and under utilised. The 1960’s Concrete frame building has in the past been used for a number of activities, these include heavy engineering research, teaching and administrative functions. Currently the building is occupied by the following: • Faculty Office Medical and Human Sciences – largely 3rd Floor • Faculty Office Faculty of Life Sciences – 1st Floor • Centre for History of Sciences and Technology in Medicine – 2nd Floor • Engineering and Physical Sciences research groups Ground Floor to 3rd inclusive • Teaching Spaces – most floors • Potters Café- Ground Floor • E-learning suite 6th Floor (Completed December 2012) • Human Reso",,,David Armstrong,Paul Gerrard
405625,Brierfield Mill Sustainability Report,Manchester,Appraisal (RIBA stage A),Report,01 Jul 2013,"FEASIBILITY STUDY INTO ALTERNATIVE ENERGY AND ENERGY EFFICIENCY The feasibility study is required to look at a range of options for energy generation, low carbon technology and for reducing energy consumption at the mill complex as it is brought back into use. The study is required to look at how to reduce the energy bills of future users of the site, to minimise CO2 emissions and hence support future funding bids and to look at options for income generation to support future regeneration work at the site. The study will need to propose the most cost effective options that can be delivered without compromising the heritage nature of the mill, or it’s setting within a Conservation Area. Liaison will be required with English Heritage and Pendle Council’s Conservation Officer as part of the study to determine what would be appropriate. For each appropriate option, or combination, a cost will be requir",,,David Armstrong,Andrew Cross
405626,"Central Village Development - Phase 3, Leeds - BREEAM",Manchester,Briefing (RIBA stage B),Report,11 Jul 2013,"Phase 3 of Central Village Development - Phase 3, Leeds, consiss of two student residential towers over 13 & 10 floors respectively, with mixed use accommodation on the ground floor (including management suite, laundry & common room). The two towers are linked at the lower grounf level where two retail units (not assessed by this fee proposal) are located, along with plant space. Target rating - Assessed under BREEAM 20111, New Construction - Multi - Residential targeting a rating of 'Very Good'.",,,Mark Hagger,Elliot Rawstrone
405628,"Stonecross Mansion, Ulverston",Manchester,Outline Proposals (RIBA stage C),Other,16 Jul 2013,Asked to submit a bid by Hurd Rolland Partnership. M&E Engineering services 1. The conversion of the grade ll listed Stonecross Mansion to apartments 2. The restoration (Potentially including replacement of the existing modern extention) of the curtilage listed former lodge house (Daltongate entrance) 3. The erection of a stable courtyard new build and 4. The erection of approximately 50 new build dwellings in the grounds of the mansion.,,,Mark Hagger,
405630,University of Liverpool - Sherrington Laboratories Refurbishment,Manchester,Production Information (RIBA stage F),Full Duties,22 Jul 2013,A refurbsihment of the 2nd Floor Laboratory at the Sherrington Building on the University of Liverpool Campus. The project comprises of the following: New VRF Heating and Cooling Systems New Domestic and Drainage Services New LV distribution Fire alarm and lighting amendments The project is to be completed under the University of Liverpool framework proposals. Refer to Manchester X drive for details of the framework Ts and Cs.,,,David Armstrong,Paul Gerrard
405631,Liverpool Women's Hospital Gynaecology Redevelopment,Manchester,Outline Proposals (RIBA stage C),Full Duties,02 Aug 2013,"Invited to bid as part of Laing O'Rourke team under North West Construction Hub (NWCH). 3 Storey Hospital building with accomodation at ground, first and second floor level. Design and construct - 4 phase construction works Phase 1 - Enabling works to remodel the site cabins to accomodate the chemotherapy department who operate at the hospital Phase 2a - To refurbish and remodel the former breast screening department with completion required by 14th March 2014 in order to permanently accommodate clinical genetics, who will be relocated from Alder Hey Childrens NHS Foundation Trust on/before 31st March 2014 Phase 2b - Bedford Ward Refurbishment to be undertaken in2 phases. The initial phase is to be remodelled for the Bedford ward to permanently occupy Phase 2a and 2b are to be undertaken simultaneously. Phase 3 - Completion of the Bedford Ward refurbishment for the Chemotherapy Department to Perman",,,David Armstrong,Ian Chalk
405632,Abu Dhabi Airport Company - Midfield Terminal Complex,Manchester,Outline Proposals (RIBA stage C),Stage C/D only,12 Aug 2013,"Appointed by ADAC as part of a wider design team to review the current base build proposals for retail, catering and F&B outlets in the new Midfield Terminal at the airport. Develop the current plans to schematic design stage for each outlet type, to maximise the potential commercial returns for ADAC. Produce a technical design guide for future tenants outlining the constraints of the infrastructure.",,,Mark Hagger,Don Court
405633,MA Intake and Sub A 11KV Switchgear Replacement,Manchester,Ongoing,Full Duties,18 Sep 2013,MA Intake and Sub A 11KV Switchgear Replacement,,,Mark Hagger,Kevin McQue
405634,LU Engineering Building for EWC,Manchester,Construction (RIBA stage K),Monitoring,20 Sep 2013,Monitoring Role for Eric Wright Construction successful Contractor on the LU Engineering Building project.,,,Mark Hagger,Andrew Cross
405635,Arla VMU Building - BREEAM,Manchester,Appraisal (RIBA stage A),Other,14 Oct 2013,BREEAM for Arla VMU Building,,,Mark Hagger,Elliot Rawstrone
405636,Dumfries & Galloway - ITPD Stage 1,Manchester,Ongoing,Full Duties,09 Oct 2013,"16 SEPT 2013 - LOR Team successfully pre-qualified for DGRI Acute Services Redevelopment Project. 1 of 3. Now in Competitive Dialogue Stage. _________________________ Part of the Laing O'Rourke team bidding for a new District Hospital on a greenfield site on the western outskirts of Dumfries. Expect that PQQ stage to shorltist 3; during competitive dialogue reduce to 2; the preferred candidate chosen at the end of CD. The Project is to deliver a circa 350 bed space district general hospital that includes inpatients, day surgery, and a range of outpatients' services. This new hospital will replace the existing Dumfires and Galloway Royal Infirmary .Planned to accept first patients in Spring 2018. Planning in principle approved in April 2013. OBC approved by Scottish Government 05 June 2013. A project Stakeholder Reference Group has been established to ensure the participation and communication with ",NBBJ Architects (London),,David Armstrong,John Dickinson
405637,55 Princess Street,Manchester,Outline Proposals (RIBA stage C),Report,14 Oct 2013,Assessment of the following for the office space: 1. Impact on the HVAC systems with the possible removal of the brise soleil 2. ventilation assessment to see if new WCs/showers could be accommodated in the basement and at 6h floor 3. Lighting review of the offices and wcs to make the space more inviting for potential tenants,,,Mark Hagger,Ian Chalk
405638,Gore St Residential,Manchester,Appraisal (RIBA stage A),Stage C/D only,24 Oct 2013,"The project is to construct a new residential development of 268 apartments – predominantly 2-bed units with a small number of studios, 1-bed, and 3-bed units. The development will also include ground level car parking with a podium level above that would be landscaped. The site borders onto Chapel St, Trinity Way, Gore St and is adjacent to Salford Central Railway Station. This project forms part of the wider ‘Chapel Street Development’, through the English Cities Fund and Salford City Council.",,,David Armstrong,Ian Chalk
405639,Blaenau Ffestiniog Memorial Hospital,Manchester,Briefing (RIBA stage B),Full Duties,05 Nov 2013,"Part new-build (70%), part refurb (30%) of the existing Memorial Hospital.",,,David Armstrong,Ian Chalk
405640,Sanofi,Manchester,Report Only,Report,12 Nov 2013,Review of the current pulmojet HVAC systems and preparing a report and updated ELDs identifying perceived issues and recommendations for corrective actions. Capped timecharge fee,,,Mark Hagger,Ian Chalk
405641,Anglesey Sea Salt,Manchester,Ongoing,Full Duties,13 Nov 2013,Anglesey Sea Salt,,,Mark Hagger,Mark Hagger
405642,Virtus Data Centres - London 2,Manchester,Tender (RIBA stage G/H),Other,13 Nov 2013,Design Assessment of Norman Disney & Young Tender Design and undertake a single IES CFD Model.,,,Mark Hagger,John Dickinson
405935,Available,Manchester,Ongoing,Other,14 Oct 2013,Available,,,Mark Hagger,Mark Hagger
511535,"Unit 2, Barbican Leisure Centre",Bristol,Ongoing,Abridged Duties,05 Jun 2013,Fit out of sub dividing of existing retail unit,,,Matthew Heaman,Stephen Bird
511536,350 Longwater Avenue and 600 SOW Green Park Submission,Bristol,Ongoing,Abridged Duties,13 Jun 2013,,None,,Matthew Heaman,Colin Mortimer
511537,Vantage Park Phase 3 Cloverleaf,Bristol,Ongoing,Abridged Duties,17 Jun 2013,Arranging utilities,None,,Mark West,Phil Summers
511538,Athlete's Village Post Completion Works,Bristol,Ongoing,Other,19 Jun 2013,minor design works to support client instructions for modifications,None,,Mark West,Steve Bonser
511540,Cameron Aberdeen Survey,Bristol,Ongoing,Performance Duties,02 Jul 2013,Survey,None,,Justin Spencer,James Outram
511542,Lots Road - Utility Infrastructure,Bristol,Ongoing,Abridged Duties,15 Jul 2013,Completition of external utility co-ordinators,None,,Phil Grew,Laurence Johnson
511543,Uni of Warwick Law School Extension,Bristol,Ongoing,Abridged Duties,15 Jul 2013,,None,,Justin Spencer,David Woolley
511544,St Ursulas,Bristol,Ongoing,Abridged Duties,15 Jul 2013,Redevelopment of a Primary School,None,,Justin Spencer,David Woolley
511545,Royal College Street,Bristol,Ongoing,Abridged Duties,07 Aug 2013,"Royal Mail Group, Royal College Street is located to the north of King's Cross Station. The project consists of the design of a new Parcel Force depot of appox 1000m2 on the site of their existing operation between Royal College Street and St Pancras Way in Camden NW1, London. The proposed building will be set back from all sides to allow for other uses to provide the majority of the street frontage. It is also intended to provide a mix of student accommodation and up to 250 residential dwellings above the depot at the podium level. It is noted that the project is likely to be brough forward in phases to allow a continuous operation for Parcel Force to be maintained on the site throughout the construction period.",None,,Tim Rathbone,David Matthews
511546,Uni of Warwick Sports Hall Climbing Wall,Bristol,Ongoing,Abridged Duties,17 Jul 2013,,None,Robert Wilson,Justin Spencer,David Woolley
511547,Bath Business Park,Bristol,Report Only,Report,29 Jul 2013,"Energy statement , carbon reduction strategy & dynamic thermal modelling calculations for a new motor dealership based in Bath",,,Justin Spencer,James Ford
511549,Highcross Residential Overheating,Bristol,Ongoing,Other,24 Jul 2013,Residential units in Leicester,,,Phil Grew,Mel Stockwell
511551,Imperial Tobacco - Novated to BAM,Bristol,Ongoing,Full Duties,25 Jul 2013,"Refurbishment of Imperial Tobacco's existing offices (aprox 2,000m2) in Winterstoke Road, Bristol. Intention is to being the existing offices upto the same standard and specification as the new HQ building currently being constructed on the same site.",,,Justin Spencer,David Matthews
511552,Mulberry - Rookery AC Survey,Bristol,Ongoing,Abridged Duties,30 Jul 2013,Review of existing Air Conditioning within the Rookery Offices,None,Peter Carver,Tim Rathbone,David Matthews
511553,White Rock - Eastern Bowl,Bristol,Ongoing,Abridged Duties,31 Oct 2013,X,,,Phil Grew,Laurence Johnson
511554,University of Warwick District Cooling Systems Study,Bristol,Ongoing,Abridged Duties,05 Aug 2013,Report,,,Justin Spencer,David Woolley
511555,VOID _ NOT NOT USE,Bristol,Ongoing,Abridged Duties,07 Aug 2013,£38M redevelopment of existing site into depot and 350 apartments,,,Tim Rathbone,David Matthews
511556,Oxpens and Redbridge Car Parks,Bristol,Ongoing,Full Duties,06 Aug 2013,In support of the Westgate Oxford masterplan application it is proposed to submit a detailed planning application for interim car parking at Oxpens and coach layover parking space at the Redbridge park and ride site.,,,Phil Grew,David Woolley
511558,VOID - DO NOT USE,Bristol,Ongoing,Abridged Duties,12 Aug 2013,,,,Matthew Heaman,Colin Mortimer
511559,VOID - DO NOT USE,Bristol,Ongoing,Abridged Duties,12 Aug 2013,Fit out of mechanical systems in refurbished building for tenant,,,Matthew Heaman,Colin Mortimer
511560,Redcliffe Quay - Bristol,Bristol,Ongoing,Abridged Duties,14 Aug 2013,Survey and Review of existing M&E systems with respect to the pre-acquisition report,None,,Matthew Heaman,David Woolley
511561,Bristol Zoo Education Centre Extension,Bristol,Ongoing,Abridged Duties,19 Aug 2013,Extension of conservation education centre with 2 naturally centilated ampitheatres,,,Matthew Heaman,Chris Jones
511562,1 Eton Street,Bristol,Report Only,Report,20 Aug 2013,Survey of Office,,,Graham Cossons,Steve Bonser
511563,Norfolk & Norwich claim 2013,Bristol,Ongoing,Other,30 Aug 2013,legal claim,,,Mark West,Mark West
511564,196A Piccadilly,Bristol,Ongoing,Report,22 Aug 2013,Grade II listed building conversion into restaurant,None,Paul Hanvey,Matthew Heaman,David Woolley
511565,Oswestry Livestock Auction,Bristol,Ongoing,Abridged Duties,04 Oct 2013,New cattle market building in Shropshire,,,Matthew Heaman,David Woolley
511566,Blackwall Reach,Bristol,Ongoing,Abridged Duties,29 Aug 2013,240 dwellings across 3 blocks,,,Saul Tyler,Phil Gale
511567,Meridian Gate,Bristol,Ongoing,Other,05 Sep 2013,"40 Storey residential tower in Canary Wharf, London.",None,,Saul Tyler,Saul Tyler
511568,La Vieille Cour Fit-Out - CMT,Bristol,Ongoing,Other,09 Sep 2013,"La Vieille Cour Fit-Out - CMT. St Peter Port, Guernsey, Channel Islands. Time charge project with a cap of £4,500.00. CMT role on behalf of Galleon Holdings Limited for the proposed tenant fit-out of 3 floors of La Vieille Cour and the Galleon Wing by Babbe.",None,,Matthew Heaman,David Woolley
511569,Burges Salmon Generator Testing,Bristol,Report Only,Report,11 Sep 2013,Providing Burges Salmon with impartial advice regardign the programmed testing of the existing generator at One Glass Wharf by the new FM contractor,,,Matthew Heaman,David Matthews
511570,Moorside Inspection & Report on RW Harvesting,Bristol,Report Only,Report,11 Sep 2013,Inspection & report of components supplied & installed in RW harvesting installation,,,Matthew Heaman,Mike Best
511571,Bath University Carbon Management,Bristol,Ongoing,Other,12 Sep 2013,"Bath University Carbon Management. Bristol Project. Time charge - Up to £4,000.00 - Based on Bath University rates.",None,,Justin Spencer,Steve Bonser
511572,Eagle House,Bristol,Ongoing,Stage C/D only,13 Sep 2013,"Eagle House, Bracknell. Bristol Project. Conversion of a 6 storey office block into private residential apartments. The building is located above retail units in the Bracknell Northern Regeneration Retail Quarter development. Stage C only.",None,,Phil Grew,David Woolley
511573,Lillie Square Phase 2 & 3,Bristol,Ongoing,Full Duties,17 Sep 2013,Residential site adjacent to Earls Court,,,Saul Tyler,Colin Mortimer
511575,ECV : Post RMA Works,Bristol,Ongoing,Full Duties,25 Sep 2013,Post RMA works at Earls Court Village,,,Phil Grew,Phil Grew
511576,Rare Software Comms Room Survey & Proposals Report,Bristol,Ongoing,Abridged Duties,27 Sep 2013,,None,Charlie Clark,Matthew Heaman,David Elliott
511577,Poundland - Woking,Bristol,Ongoing,Performance Duties,03 Oct 2013,"Poundland - Woking. Refurbishment of existing shopping units to provide space for Poundland. Fee £10,000.00 subject to confirmation.",Benoy (London),,Phil Grew,Scott Murray
511578,Sea Containers House,Bristol,Ongoing,Abridged Duties,01 Oct 2013,,tp bennett (London),Mark Catton,Saul Tyler,David Matthews
511579,Stratford City Development Plot S25 UNITE Project,Bristol,Report Only,Other,07 Oct 2013,"Site inspections & report for Plot S25 student accommodation at Stratford City, London",,Richard Aitchison,Justin Spencer,Steve Bonser
511580,400 Longwater Avenue - Reading,Bristol,Ongoing,Abridged Duties,09 Oct 2013,"State of the art, environmentally progressive new build commercial office development",,,Mark West,David Woolley
511581,Edwards Vacuum Final Test,Bristol,Report Only,Other,14 Oct 2013,"Expansion of industrial test facilities, load analysis & recommendations",,,Matthew Heaman,David Matthews
511582,Queens Building Facade,Bristol,Ongoing,Full Duties,23 Oct 2013,,,,Graham Cossons,Steve Bonser
511583,Chichester Gate Leisure Park,Bristol,Report Only,Report,15 Oct 2013,Existing leisure facility. Involvement is to undertakea check on the exisiting rainwater drainage system above ground and advise on the compatibility with current regulations/standards,,,Matthew Heaman,Mike Best
511584,BRI Queens Building Ventilation,Bristol,Report Only,Report,15 Oct 2013,"ventilation study for Queens building, BRI",,,Graham Cossons,Steve Bonser
511585,Alexander House Refurbishment - Woking,Bristol,Ongoing,Performance Duties,17 Oct 2013,refurbishment of existing shopping units to provide space for Poundland,,,Phil Grew,Matthew Smith
511586,The Mall LR18,Bristol,Ongoing,Full Duties,23 Oct 2013,Extension of retail unit,,,Matthew Heaman,David Woolley
511587,University of Warwick - Engineering D Block Extension,Bristol,Ongoing,Full Duties,25 Oct 2013,Feasibility Study,,,Justin Spencer,David Woolley
511588,Adaptions to Mall Water Features,Bristol,Ongoing,Full Duties,25 Oct 2013,Upgrade and adaption on bole hole water to features,,,Justin Spencer,Stephen Bird
511589,18 Queen Victoria Street,Bristol,Ongoing,Performance Duties,08 Nov 2013,"Cat A office refurbishment of Bridge House, Appointment includes Fire, BREEAM and acoustics",,,Saul Tyler,David Matthews
511590,Bristol Old Vic Theatre School Extension,Bristol,Ongoing,Full Duties,31 Oct 2013,Extension of theare,,,Matthew Heaman,David Woolley
511591,Zodiac Maritime,Bristol,Ongoing,Abridged Duties,04 Nov 2013,HQ Fit-Out for international Shippinging Company,,,Saul Tyler,David Matthews
511592,TFL Surveys,Bristol,Ongoing,Report,01 Nov 2013,Survey and Report on existing office building in Canary Wharf,,,Matthew Heaman,Colin Mortimer
709637,Primark Camberley Refurbishment,Bournemouth,Ongoing,Performance Duties,29 May 2013,Refurbishment of existing store,,,Steve Harrison,Brian Thornton
709638,15 & 37 The Bishops Avenue,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,18 Jun 2013,Refurbishment and extension of 2 separate luxury houses in Bishop’s Avenue.,,,Richard Evans,Richard Evans
709639,Wyvern School,Bournemouth,Ongoing,Performance Duties,06 Jun 2013,,,,Mark Wilkinson,Mark Wilkinson
709640,Montacute School,Bournemouth,Ongoing,Performance Duties,06 Jun 2013,,,,Mark Wilkinson,Mark Wilkinson
709641,Oakfield Academy,Bournemouth,Ongoing,Performance Duties,06 Jun 2013,,,,Mark Wilkinson,Mark Wilkinson
709642,Former Bournemouth International Hotel,Bournemouth,Ongoing,Abridged Duties,07 Jun 2013,85 New build apartments over a basement carpark,,,Eduardo Urinovsky,Paul Cornwell
709643,The Art O'tel,Bournemouth,Ongoing,Performance Duties,10 Jun 2013,,,,Eduardo Urinovsky,Bratislav Antic
709644,Stockley House,Bournemouth,Ongoing,Performance Duties,11 Jun 2013,Existing office building to be converted to residential.,,,Eduardo Urinovsky,Bratislav Antic
709645,65 Winnington Road,Bournemouth,Ongoing,Other,14 Jun 2013,,,,Mark Wilkinson,Mark Wilkinson
709646,20 Grosvenor Square,Bournemouth,Appraisal (RIBA stage A),Full Duties,16 Jul 2013,"Approx, 40 apartments with spa/pool to the basement",,,Richard Evans,Richard Evans
709647,111 Upper Richmond Road,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,24 Jun 2013,New build development to support the planning application,,,Richard Evans,Richard Anthony
709648,TK Maxx Harringay,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,01 Jul 2013,M&E monitoring consultants,,,Richard Evans,Mike Gilbert
709649,TK Maxx Covent Garden,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,01 Jul 2013,M&E monitoring consultants,,,Richard Evans,Mike Gilbert
709650,Wiltshire College,Bournemouth,Ongoing,Abridged Duties,27 Jun 2013,Redevelopment of the College's existing Chippenham campus consiting of new purpose built teaching and learning facilities with car park.,,,Steve Harrison,John Cheesman
709651,19 Buckingham Gate,Bournemouth,Appraisal (RIBA stage A),Other,09 Jul 2013,An existing office building to be converted into apartments,,,Steve Delvin,Steve Delvin
709653,Vauxhall City Farm,Bournemouth,Appraisal (RIBA stage A),Other,09 Jul 2013,The redevelopment of the City Farm to deliver 8 family social rented affordable units,,,Steve Delvin,Vicki Limbrick
709654,60 Hamilton Terrace,Bournemouth,Ongoing,Other,11 Jul 2013,,,,Mark Wilkinson,Mark Wilkinson
709655,Homesense Farnborough,Bournemouth,Appraisal (RIBA stage A),Framework Agreement,15 Jul 2013,M&E monitoring,,,Richard Evans,Mike Gilbert
709656,26 Bushey Road,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,24 Jul 2013,Between 9 and 18 new residential units,,,Richard Evans,Richard Evans
709657,"1, 2 & 6 Merchant Square",Bournemouth,Appraisal (RIBA stage A),Abridged Duties,19 Aug 2013,"To take the planning scheme for 1MS (hotel and private residential), 2MS (commercial offices) and 6MS (private and affordable residential), together with the remaining basement areas to stage D, then following this produce tender documents for 1MS and 6MS and the basement (including the basement core under the future 2MS.",,,Ian Billington,Ian Billington
709658,373-375 Euston Road,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,31 Jul 2013,Eisting office building to residential units from first to third floor with two new additional residential floors.,,,Richard Evans,Richard Evans
709659,2 Holland Park,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,08 Aug 2013,"Conversion and extension of a Grade II Listed house, approximately 8,500sqft, a new underground garden room to comprise 3000-4000sq ft (to house the pool and squash court)",,,Richard Evans,Richard Evans
709660,Primark Toulouse,Bournemouth,Ongoing,Framework Agreement,02 Aug 2013,,,,Steve Harrison,Steve Harrison
709661,Primark Lille,Bournemouth,Ongoing,Framework Agreement,02 Aug 2013,,,,Steve Harrison,Steve Harrison
709662,Primark Metz,Bournemouth,Ongoing,Framework Agreement,02 Aug 2013,,,,Steve Harrison,Steve Harrison
709663,50 Avenue Road,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,06 Aug 2013,"Mmaximise the potential of the site, including basement/s and new build where possible, all to create a substantial single family house.",,,Richard Evans,Richard Evans
709664,Camden Schools,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,12 Aug 2013,Parliament Hill & William Ellis Secondary Schools,,,Mark Wilkinson,Mark Wilkinson
709665,Queenspark Chester,Bournemouth,Appraisal (RIBA stage A),Other,16 Aug 2013,"Sustainability strategy for 21 pavilions, broken down into 3 blocks of 7 units each with half basement. Each pavilion has three levels of accommodation above ground.",,,Colm Dougan,Vicki Limbrick
709666,Primark Wakefield,Bournemouth,Ongoing,Performance Duties,17 Sep 2013,Extension to existing building,,,Steve Harrison,Darren Rowe
709667,Primark Bracknell,Bournemouth,Ongoing,Performance Duties,17 Sep 2013,New purpose-built shell,,,Steve Harrison,Darren Rowe
709668,Primark Sheffield The Moor,Bournemouth,Ongoing,Performance Duties,18 Sep 2013,New purpose built shell,,,Steve Harrison,Darren Rowe
709669,Primark Truro,Bournemouth,Ongoing,Performance Duties,17 Sep 2013,New purpose-bilt shell.,,,Steve Harrison,Darren Rowe
709670,2 Mill Harbour,Bournemouth,Ongoing,Full Duties,16 Sep 2013,"1012 Residential Units (729 Private, 190 Rent and 94 shared Ownership) in 4 blocks",,,Steve Delvin,Bratislav Antic
709671,Market Street,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,16 Sep 2013,Approximately 300 residential units of various sizes and commercial units with multi storey car park,,,Richard Evans,Richard Evans
709672,One Victoria Road,Bournemouth,Appraisal (RIBA stage A),Other,17 Sep 2013,"The development is a new build student residential development for 659 students including 592 study rooms, 66 studios and a 2-bed flat. Ancillary accommodation will be provided at basement and ground floor.",,,Colm Dougan,Colm Dougan
709673,TK Maxx Eastbourne,Bournemouth,Appraisal (RIBA stage A),Framework Agreement,24 Sep 2013,M&E monitoring consultants,,,Richard Evans,Mike Gilbert
709674,Homesense Solihull,Bournemouth,Appraisal (RIBA stage A),Framework Agreement,27 Sep 2013,M&E monitoring consultants,,,Richard Evans,Mike Gilbert
709675,TK Maxx Hove,Bournemouth,Appraisal (RIBA stage A),Framework Agreement,27 Sep 2013,M&E monitoring consultants,,,Richard Evans,Mike Gilbert
709676,Primark Lyon,Bournemouth,Ongoing,Abridged Duties,10 Oct 2013,Fit out of store,,,Steve Harrison,Darren Rowe
709677,Primark Bayonne,Bournemouth,Ongoing,Abridged Duties,10 Oct 2013,Shop fit out,,,Steve Harrison,Darren Rowe
709678,Primark Toulon,Bournemouth,Ongoing,Abridged Duties,10 Oct 2013,Shop fit out,,,Steve Harrison,Darren Rowe
709679,Primark Carre Senant,Bournemouth,Ongoing,Abridged Duties,10 Oct 2013,Shop fit out,,,Steve Harrison,Darren Rowe
709680,Primark Basildon,Bournemouth,Ongoing,Performance Duties,10 Oct 2013,Refurbishment of store,,,Steve Harrison,Brian Thornton
709681,Primark Maidstone,Bournemouth,Ongoing,Performance Duties,10 Oct 2013,Refurbishment of store,,,Steve Harrison,Brian Thornton
709682,13 queen's Gate Gardens,Bournemouth,Report Only,Report,16 Oct 2013,M&E report on 2 flats,,,Richard Evans,Steve Whiddett
709683,TK Maxx Hereford,Bournemouth,Appraisal (RIBA stage A),Framework Agreement,16 Oct 2013,M&E monitoring duties,,,Richard Evans,Mike Gilbert
709684,Pavilion Road,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,23 Oct 2013,Replacement of an NCP car park with a standalone luxury residential scheme,,,Richard Evans,Paul Wright
709685,TK Maxx Dublin,Bournemouth,Appraisal (RIBA stage A),Framework Agreement,24 Oct 2013,M&E monitoring duties,,,Richard Evans,Mike Gilbert
709686,TK Maxx Ipswich,Bournemouth,Appraisal (RIBA stage A),Framework Agreement,28 Oct 2013,M&E monitoring duties,,,Richard Evans,Mike Gilbert
709687,TK Maxx Nottingham,Bournemouth,Appraisal (RIBA stage A),Framework Agreement,28 Oct 2013,M&E monitoring duties,,,Richard Evans,Mike Gilbert
709690,Wandsworth Riverside Quarter Buildings 5C & 5D,Bournemouth,Appraisal (RIBA stage A),Abridged Duties,01 Nov 2013,The project consists of the design and construction of four further mixed use buildings incorporating basement car parking,,,Ian Billington,Chris Brooker
991245,Morriston Hospital Pathology Department,Cardiff,Briefing (RIBA stage B),Abridged Duties,25 Apr 2013,Refurbishment of pathology dept,None,,Peter Wells,Neil Plow
991246,Blackwood Miners Institute Phase 3,Cardiff,Outline Proposals (RIBA stage C),Full Duties,01 May 2013,Refurfishment of the Institute to provide arts centre and concert hall,Caerphilly County Borough Council (Pontllanfraith),,Peter Wells,Robin Griffiths
991251,Trawler Road Daylight Study,Cardiff,Outline Proposals (RIBA stage C),Other,29 May 2013,Daylight calculations for existing buildings to assess impact of a new adjacent development.,Rio Architects Ltd (Cardiff),Huw Jones,John Rhoden,John Lloyd
991253,Rookwood Hospital Heating Review,Cardiff,Report Only,Report,18 Jun 2013,Report only,None,,John Rhoden,Chris Griffiths
991254,Ysgol Nant Talwg,Cardiff,Detailed Proposals (RIBA stage D),Performance Duties,21 Jun 2013,New Primary School,Stride Treglown (Cardiff),Simon Trew,Wynne Harris,Andrew Thomas
991255,Oldfield School,Cardiff,Briefing (RIBA stage B),Performance Duties,21 Jun 2013,18 classroom extension to existing school for STEM (9 labs and 9 classrooms),Boyes Rees Architects (Cardiff),Graham David,Wynne Harris,Andrew Thomas
991256,Pembroke Learning Campus,Cardiff,Appraisal (RIBA stage A),Framework Agreement,03 Jul 2013,New build,Powell Dobson Architects (Cardiff),,John Rhoden,Andrew Thomas
991257,SWNC Temporary Training Facility,Cardiff,Report Only,Tenant Advisor,01 Jul 2013,Report only,None,Malcolm Zaple,Peter Wells,Tom deBoeck
